City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Jinan,CN,36.67,117.0,57.0,35,0,3.22,clear sky
330,Celestun,MX,20.87,-90.4,81.18,83,49,12.12,scattered clouds
331,Qitaihe,CN,45.8,130.85,34.88,75,100,25.93,overcast clouds
332,Jurado,CO,7.11,-77.76,78.1,88,100,3.6,moderate rain
333,Parnamirim,BR,-5.92,-35.26,77.0,94,75,10.29,broken clouds
334,Dvorichna,UA,49.85,37.69,56.73,73,100,8.21,light rain
335,Manavgat,TR,36.79,31.44,68.0,45,0,4.7,clear sky
336,Hay River,CA,60.82,-115.8,23.0,67,40,4.7,scattered clouds
337,Aswan,EG,24.09,32.91,74.86,32,0,12.12,clear sky
338,Toktogul,KG,41.87,72.94,40.8,67,98,1.34,overcast clouds
339,Kamenka,RU,51.32,42.77,55.99,70,100,10.02,overcast clouds
340,Vila,PT,42.03,-8.16,52.0,91,90,7.0,overcast clouds
341,Flinders,AU,-34.58,150.86,75.99,79,100,4.0,overcast clouds
342,Buenos Aires,AR,-34.61,-58.38,69.01,88,40,5.82,scattered clouds
343,Catuday,PH,16.29,119.81,80.15,80,100,5.66,moderate rain
344,Amapa,BR,1.0,-52.0,79.18,60,1,5.93,clear sky
345,Borovoy,RU,55.43,86.08,26.6,92,75,8.95,broken clouds
346,Luderitz,NA,-26.65,15.16,58.59,81,0,7.49,clear sky
347,Simao,CN,22.79,100.97,64.47,61,100,0.76,overcast clouds
348,Hofn,IS,64.25,-15.21,43.02,92,100,10.33,light rain
349,Westport,US,41.14,-73.36,63.0,93,90,9.17,overcast clouds
350,Port Hardy,CA,50.7,-127.42,44.6,93,90,8.05,light intensity shower rain
351,La Romana,DO,18.43,-68.97,80.6,88,40,5.82,scattered clouds
352,Camacha,PT,33.08,-16.33,66.2,68,20,4.7,few clouds
353,Derzhavinsk,KZ,51.1,66.32,26.94,90,0,8.63,clear sky
354,Nuevo Mexico,MX,20.75,-103.43,75.2,47,40,6.93,scattered clouds
355,Grants,US,35.15,-107.85,62.6,20,1,5.82,clear sky
356,Weihai,CN,37.5,122.11,57.7,49,0,10.42,clear sky
357,Praia Da Vitoria,PT,38.73,-27.07,64.99,82,40,13.94,scattered clouds
358,Xai-Xai,MZ,-25.05,33.64,68.02,87,25,5.48,scattered clouds
359,Kahului,US,20.89,-156.47,87.8,55,40,12.75,scattered clouds
360,Luanda,AO,-8.84,13.23,77.0,78,75,8.05,broken clouds
